fiscal_year,cip_number,cip_year_id,filename,project_title,location,project_desc,amt_type,operating_impact_amt,appropriated_amt,agency_amt,planning_amt,bof_amt,boe_amt,bureau_program,bureau_name,contract_number
2015,197-830,197-830_2015,FY15 Capital Budget.xls,68th Street Environmental Remediation Project,68th St (landfill),Remediate City right-of-way and real property that are contaminated by hazardous materials.  Remediation is required by EPA regulations as stipulated in EPA-issued Administrative Order of Consent.,Total,0,435000,500000,500000,500000,500000,197,Department of General Services,NA
2015,197-840,197-840_2015,FY15 Capital Budget.xls,Race Street Environmental Remediation,2000 Race St,Remediate the contaminated soil in the I-95 right-of-way at 2000 Race Street.,Total,0,300000,200000,200000,200000,200000,197,Department of General Services,NA
2015,197-933,197-933_2015,FY15 Capital Budget.xls,Historic Public Buildings,Various,"City landmarks have a great need for facilities improvements.  In order to get the greatest return on the City`s investment, funds will be immediately used to perform condition assessments.",Total,0,0,0,100000,100000,100000,197,Department of General Services,NA
2014,197-001,197-001_2014,FY14 Capital Budget_0.xls,New Mitchell Courtroom and Chambers #1,Clarence Mitchell Courthouse - 100 N. Calvert Street,Design and construct a large courtroom in the Clarence Mitchell Courthouse. The Courtroom will include a Jury Deliberation Room with accessible bathroms and Administrative Law Clerk's Offices and Judge's Chambers.,Total,0,0,2250000,2250000,2250000,2250000,197,Department of General Services,NA
2014,197-002,197-002_2014,FY14 Capital Budget_0.xls,Council Chambers - Balcony Steps and ADA,City Hall - 100 N. Holliday Street,Renovate the steps located in the balcony of the City Council Chambers to eliminate the potential tripping hazard. Also included is an upgrading of the audio/visual system to meet ADA requirements.,Total,0,0,200000,0,0,0,197,Department of General Services,NA
2014,197-003,197-003_2014,FY14 Capital Budget_0.xls,Abel Wolman Elevator Upgrade,200 Holiday Street,"Renovate/upgrade elevators, elevator machine room and elevator equipment in the Abel Wolman Municipal Building to bring up to code.",Total,0,0,2000000,2000000,2000000,2000000,197,Department of General Services,NA
2014,197-004,197-004_2014,FY14 Capital Budget_0.xls,Benton Building Exterior Stone Walls,417 E. Fayette St.,"Refurbish the walls by patching and replacing bad panels, stabilizing loose panels, cleaning the stones, and sealing the entire surface to make it water tight. The stone is so deteriorated that it may only last another decade before slabs break loose.",Total,0,0,1100000,1100000,1100000,1100000,197,Department of General Services,NA
2014,197-005,197-005_2014,FY14 Capital Budget_0.xls,City Hall Exterior Stone Walls,100 N. Holliday Street,"Repair cracks in the existing marble façade of City Hall and refurbish broken or missing stones. In addition to sealing the building envelope, this is a life-safety issue.  Recently another stone has fallen to the street/sidewalk below.",Total,0,0,680000,680000,680000,680000,197,Department of General Services,NA
2014,197-006,197-006_2014,FY14 Capital Budget_0.xls,"Sarah's Hope, Homeless Shelter for Women & Childeren",1114 North Mount St,"Renovate the building envelope including new roof; replacement or rehab of windows; upgrade to energy efficient HVAC and repair of water and earthquake damage.  In addition, design and implement site improvements such as ADA paths and new playground.",Total,0,0,1800000,1800000,1800000,1800000,197,Department of General Services,NA
2014,197-007,197-007_2014,FY14 Capital Budget_0.xls,Abel Wolman Municipal Building Master Plan and Schematic Design,200 N Holliday St,"Develop a Master Plan and Schematic Design for the renovation of the Abel Wolman Municipal Bldg. to a 21st Century Office Bldg.  Its location, north of City Hall and adjacent to War Memorial Plaza, makes it ideal as leasable office space for City Agencies",Total,0,0,650000,650000,650000,650000,197,Department of General Services,NA
2014,197-008,197-008_2014,FY14 Capital Budget_0.xls,Mitchell Courthouse - ADA Toilet Rooms,100 N Calvert Street,The Mitchell Courthouse is not in compliance with accessibility standards required by the ADA for public toilet rooms.,Total,0,0,220000,220000,220000,220000,197,Department of General Services,NA
2014,197-010,197-010_2014,FY14 Capital Budget_0.xls,City Hall - Basement Flooding,100 Holiday Street,"Abate source of water infiltration in the basement of City Hall, where Law Department offices are located.",Total,0,0,75000,75000,75000,75000,197,Department of General Services,NA
2014,197-011,197-011_2014,FY14 Capital Budget_0.xls,The Cloisters Emergency Generator,10440 Falls Rd,Install an emergency generator at The Cloisters to allow uninterrupted use of the well pump during power outages.,Total,0,0,100000,0,0,0,197,Department of General Services,NA
2014,197-014,197-014_2014,FY14 Capital Budget_0.xls,401 E Fayette Mechanical/Electrical/Plumbing Assessment & Design,401 East Fayette St,Design and construct new Mechanical/Electrical/Plumbing (MEP) systems in 401 E. Fayette Street.,Total,0,0,100000,100000,100000,100000,197,Department of General Services,NA
2014,197-016,197-016_2014,FY14 Capital Budget_0.xls,4 South Frederick/Study Assessment,4 South Frederick Street,This property has a tremendous amount of tenant turnover. An analysis of and plan for the building is required to identify and correct issues that cause tenants to be displeased with the 4 South Frederick Street Building.,Total,0,0,70000,0,0,0,197,Department of General Services,NA
2014,197-017,197-017_2014,FY14 Capital Budget_0.xls,Oliver Multi-Purpose Center Master Plan and Schematic Design,1400 East Federal Street,"This de-appropriation will make old, unused funds available for a new purpose.",Total,0,0,250000,0,0,0,197,Department of General Services,NA
2014,197-018,197-018_2014,FY14 Capital Budget_0.xls,Stone Mansion on Reservoir Hill,2001 Park Ave,"Renovate the Stone Mansion on Reservoir Hill, which has fallen into disrepair and is in need of a total renovation to properly house the neighborhood's Head Start Program. The site needs to be regraded to prevent further water damage to the foundation.",Total,0,0,250000,0,0,0,197,Department of General Services,NA
2014,197-022,197-022_2014,FY14 Capital Budget_0.xls,Courthouse East - Basement Beam,101 N Calvert Street,Restore a structural concrete beam located in the basement of Court House East. The deteriorated beam presents a life safety issue.,Total,0,0,120000,120000,120000,120000,197,Department of General Services,NA
2014,197-029,197-029_2014,FY14 Capital Budget_0.xls,Visitor Center Expansion,401 Light Street,"The Visitor Center opened in 2004.  Due to its popularity, the support offices, storage and computer areas need to be expanded.",Total,0,0,100000,0,0,0,197,Department of General Services,NA
2014,197-030,197-030_2014,FY14 Capital Budget_0.xls,Abel Wolman Fire Suppression System,200 N Holliday St,"Per the Fire Marshall, a Fire Suppression System is required for adequate safety of the building's occupants.",Total,0,0,200000,200000,200000,200000,197,Department of General Services,NA
2014,197-034,197-034_2014,FY14 Capital Budget_0.xls,Cylburn Mansion,4915 Greenspring Avenue,Upgrade HVAC system for reliability and energy efficiency. Evaluate and upgrade Fire Alarm and Fire Suppression System.  Address code and ADA accessibility issues.,Total,0,0,200000,200000,200000,200000,197,Department of General Services,NA
2014,197-035,197-035_2014,FY14 Capital Budget_0.xls,Police Headquarters Curtain Wall Restoration,601 East Fayette,Upgrade exterior curtain wall of structure. The critical water infiltration aspects of the existing curtain wall envelope of the structure are failing and need to be evaluated and restored.,Total,0,0,200000,200000,200000,200000,197,Department of General Services,NA
2014,197-037,197-037_2014,FY14 Capital Budget_0.xls,Hampden Library Renovation,"3641 Falls Road Baltimore, MD 21211",This project calls for the complete renovation of the Hampden Neighborhood Library.,Total,0,0,1500000,1500000,1500000,1500000,197,Department of General Services,NA
2014,197-050,197-050_2014,FY14 Capital Budget_0.xls,Southwestern Police Station Renovation,424 Fonthill Ave.,"The Southwestern District Station was constructed in 1957. Due to the age of the building, it has numerous leaks.  This project will fix building code violations and will repair the roof/building envelope so it is watertight and leak-free.",Total,0,0,270000,0,0,0,197,Department of General Services,NA
2014,197-055,197-055_2014,FY14 Capital Budget_0.xls,Fire Academy Master Plan,6720 Pulaski Highway,Design a complete plan for renovation/upgrade of the Fire Training Academy located on Pulaski Highway and construct the facility in accordance with such design.,Total,0,0,350000,330000,330000,330000,197,Department of General Services,NA
2014,197-056,197-056_2014,FY14 Capital Budget_0.xls,Engine 30 Renovations,3220 Frederick Ave,Renovate 2nd Floor bathrooms and create two gender-specific bathrooms to serve the men and women who work in the fire service. Install exterior manual transfer switch for future connection to portable generator.,Total,0,0,75000,75000,75000,75000,197,Department of General Services,NA
2014,197-057,197-057_2014,FY14 Capital Budget_0.xls,Engine 21 Renovations,3724 Roland Ave,"Restore structural concrete floor slab at apparatus bay to comply w/ safety standards. Remove and replace aged, dilapidated kitchen cabinets, countertop & sink in kind.  Install exterior manual transfer switch for future connection to portable generator.",Total,0,0,200000,200000,200000,200000,197,Department of General Services,NA
2014,197-058,197-058_2014,FY14 Capital Budget_0.xls,Engine 57 Renovations,4427 Pennington Ave,"Restore structural concrete floor slab at apparatus bay to comply with safety standards. Remove and replace aged dilapidated kitchen cabinets, countertop and sink in kind. Install exterior manual transfer switch for future connection to portable generator",Total,0,0,150000,150000,150000,150000,197,Department of General Services,NA
2014,197-059,197-059_2014,FY14 Capital Budget_0.xls,Engine 29 Renovations,4312 Park Heights Ave,"Restore structural concrete floor slab at apparatus bay to comply with safety standards. Remove and replace aged dilapidated kitchen cabinets, countertop and sink in kind. Install exterior manual transfer switch for future connection to portable generator",Total,0,0,90000,90000,90000,90000,197,Department of General Services,NA
2014,197-060,197-060_2014,FY14 Capital Budget_0.xls,Engine 46 Roof Replacement,5500 Reisterstown Rd,Replace roof and renovate kitchen at Engine 46. The severely deteriorated roofing will be completely removed and replaced with a new roofing system.,Total,0,0,260000,260000,260000,260000,197,Department of General Services,NA
2014,197-061,197-061_2014,FY14 Capital Budget_0.xls,Engine 5 Roof and Boiler Replacement,2120 Eastern Ave.,"Replace roof, replace boiler, renovate kitchen and install manual transfer switch for portable generator at Engine 5.",Total,0,0,330000,0,0,0,197,Department of General Services,NA
2014,197-063,197-063_2014,FY14 Capital Budget_0.xls,Engine 36 Electrical Upgrades,2249 Edmondson,Replace outdated non-code compliant building electrical system and install permanent emergency generator at Engine 36.,Total,0,0,500000,0,0,0,197,Department of General Services,NA
2014,197-064,197-064_2014,FY14 Capital Budget_0.xls,Engine 14 Renovation,1908 Hollins St,Renovate kitchen and bathroom at Engine 14. Install manual transfer switch for portable generator.,Total,0,0,70000,0,0,0,197,Department of General Services,NA
2014,197-065,197-065_2014,FY14 Capital Budget_0.xls,Engine 51 Renovation,645 North Highland Ave,Install manual transfer switch for portable generator. Rebuild and improve basement stair.,Total,0,0,70000,0,0,0,197,Department of General Services,NA
2014,197-066,197-066_2014,FY14 Capital Budget_0.xls,Squad 47 Renovation,2608 Washington Blvd,Replace windows at Squad 47. Install manual transfer switch for portable generator.,Total,0,0,110000,0,0,0,197,Department of General Services,NA
2014,197-067,197-067_2014,FY14 Capital Budget_0.xls,Engine 58 Renovation,2425 Annapolis Rd,Install permanent generator.,Total,0,0,60000,0,0,0,197,Department of General Services,NA
2014,197-074,197-074_2014,FY14 Capital Budget_0.xls,Benton Building Insulation Improvements,417 East Fayette St,"Replace damaged insulation material with improved energy saving ""R"" value insulation system. Remove water damaged insulation and soffit panels. Repair any water damaged infratructure. Replace any damaged soffit panels.",Total,0,0,300000,300000,300000,300000,197,Department of General Services,NA
2014,197-075,197-075_2014,FY14 Capital Budget_0.xls,Druid Health District Center Partial Renovation,1515 West North Avenue,Partially renovate the Druid Health District Center to accommodate programs relocating from a nearby private facility. Replace carpeting in public areas and some offices with VCT tile flooring.,Total,0,0,200000,200000,200000,200000,197,Department of General Services,NA
2014,197-840,197-840_2014,FY14 Capital Budget_0.xls,Race Street Environmental Remediation,2000 Race St,Remediate the contaminated soil in the I-95 right-of-way at 2000 Race Street.,Total,0,200000,100000,100000,100000,100000,197,Department of General Services,NA
2020,206-011,206-011_2020,FY20 Capital Budget Report.xls,Police Public Access Improvements,Citywide,"Build an electronic platform to provide a way for the public to make inquiries and submit reports online, consistent with BPD Consent Decree IT Strategic Plan.",Total,0,0,0,600000,600000,600000,206,Police Department,NA
2020,206-012,206-012_2020,FY20 Capital Budget Report.xls,Police Use of Force System Modernization,Citywide,"Modernize electronic system to store information on officer use of force cases to allow for better tracking and reporting, consistent with BPD Consent Decree IT Strategic Plan.",Total,0,0,0,850000,850000,850000,206,Police Department,NA
2020,206-013,206-013_2020,FY20 Capital Budget Report.xls,Police Internal Affairs System Modernization,Citywide,"Update internal affairs system to store information on internal affairs investigations to allow for better tracking and reporting, consistent with BPD Consent Decree IT Strategic Plan.",Total,0,0,0,700000,700000,700000,206,Police Department,NA
2020,206-014,206-014_2020,FY20 Capital Budget Report.xls,Police Workforce Management System Modernization,Citywide,"Update workforce management system to provide better functionality for time tracking, deployment planning, and other workforce management functions, consistent with BPD Consent Decree IT Strategic Plan.",Total,0,0,0,460000,460000,460000,206,Police Department,NA
2020,206-015,206-015_2020,FY20 Capital Budget Report.xls,Police Early Intervention System Implementation,Citywide,"Implement an early intervention system to provide holistic officer information and identify at-risk officer behaviors and manage corresponding intervention measures, consistent with the BPD Consent Decree IT Strategic Plan.",Total,0,0,0,4440000,4440000,4440000,206,Police Department,NA
2020,206-016,206-016_2020,FY20 Capital Budget Report.xls,Implement Police Data Integration Solution,Citywide,"Integrate data across multiple BPD systems and operational areas, consistent with BPD Consent Decree IT Strategic Plan.",Total,0,0,0,900000,900000,900000,206,Police Department,NA
2020,206-017,206-017_2020,FY20 Capital Budget Report.xls,Police Enterprise IT Infrastructure Implementation,Citywide,"Develop and implement an Enterprise IT Infrastructure Plan (EIIP) to determine long-term strategies for BPD IT infrastructure, consistent with BPD Consent Decree IT Strategic Plan.",Total,0,0,0,1800000,1800000,1800000,206,Police Department,NA
2020,206-018,206-018_2020,FY20 Capital Budget Report.xls,Police Connected Officer Improvements,Citywide,"Implement technologies needed to enable officer access to key systems and information needed to interact with the public and execute public safety responsibilities, consistent with BPD Consent Decree IT Strategic Plan.",Total,0,0,0,50000,50000,50000,206,Police Department,NA
2018,206-010,206-010_2018,FY18 Capital Budget.xls,Police Technology Upgrades,Citywide,"Implement technology improvements within the Police Department, in accordance with the Department of Justice consent decree, including a data warehouse and mobile data computers.",Total,0,5000000,0,4400000,4400000,6400000,206,Police Department,NA
2015,206-010,206-010_2015,FY15 Capital Budget.xls,Police Technology Improvements,Citywide,"Implement technology improvements within the Police Department, in accordance with the Department of Justice consent decree, including a data warehouse and mobile data computers.",Total,0,0,0,0,5000000,5000000,206,Police Department,NA
2024,417-005,417-005_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Programmatic Space Upgrades,Various,The funds allocated for programmatic space upgrades will provide local funding to support academic initiatives that impact facilities.,Total,0,4000000,500000,500000,500000,500000,417,City School System - Systemics,NA
2024,417-006,417-006_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Northeast Middle School Building #49 Renovation,5001 Moravia Road,"Renovate the existing Northeast facility that is outdated with many systems at the end of their useful life. The building renovation will provide a modern, state-of-the-art 21st Century educational environment for students who attend the school.",Total,0,1000000,1000000,1000000,1000000,1000000,417,City School System - Systemics,NA
2024,417-212,417-212_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Systemic Improvements (FY 2022-2027),Various,"Replace, renovate, repair or provide various building systems such as air conditioning, fire safety systems, roofs, elevators, toilet room upgrades, etc.",Total,0,141707000,9750000,9750000,9750000,9750000,417,City School System - Systemics,NA
2023,417-005,417-005_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Programmatic Space Upgrades,Various,The funds allocated for programmatic space upgrades will provide local funding to support academic initiatives that impact facilities.,Total,0,3500000,500000,500000,500000,500000,417,City School System - Systemics,NA
2023,417-212,417-212_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Systemic Improvements (FY 2022-2027),Various,"Replace, renovate, repair or provide various building systems such as air conditioning, fire safety systems, roofs, elevators, toilet room upgrades, etc.",Total,0,127707000,14000000,14000000,14000000,14000000,417,City School System - Systemics,NA
2022,417-005,417-005_2022,FY22 Capital Budget.xls,Programmatic Space Upgrades,Various,The funds allocated for programmatic space upgrades will provide local funding to support academic initiatives that impact facilities.,Total,0,3000000,500000,500000,500000,500000,417,City School System - Systemics,NA
2022,417-212,417-212_2022,FY22 Capital Budget.xls,Systemic Improvements (FY 2022-2027),Various,"Replace, renovate, repair or provide various building systems such as air conditioning, fire safety systems, roofs, elevators, toilet room upgrades, etc.",Total,0,111600000,16107000,16107000,16107000,16107000,417,City School System - Systemics,NA
2021,417-005,417-005_2021,FY21 Capital Budget.xls,Programmatic Space Upgrades,Various,The funds allocated for programmatic space upgrades will provide local funding to support academic initiatives that impact facilities.,Total,0,2500000,500000,500000,500000,500000,417,City School System - Systemics,NA
2021,417-006,417-006_2021,FY21 Capital Budget.xls,Northeast Middle School Building #49 Renovation,Northeast,"Renovate the outdated Northeast Building #49, which is currently unoccupied due to the deteriorated building and system conditions.  The building renovation will provide a state of the art, 21st century educational environment for the students who attend.",Total,0,0,1000000,1000000,1000000,1000000,417,City School System - Systemics,NA
2021,417-212,417-212_2021,FY21 Capital Budget.xls,Systemic Improvements (FY 2021-2026),Various,"Replace, renovate, repair or provide various building systems such as boilers, chillers, air conditioning, elevators, fire safety, roofs, windows and doors.",Total,0,96350000,15250000,15250000,15250000,15250000,417,City School System - Systemics,NA
2020,417-005,417-005_2020,FY20 Capital Budget Report.xls,Programmatic Space Upgrades,Various,The funds allocated for programmatic space upgrades will provide local funding to support academic initiatives that impact facilities.,Total,0,1000000,1500000,1500000,1500000,1500000,417,City School System - Systemics,NA
2020,417-212,417-212_2020,FY20 Capital Budget Report.xls,Systemic Improvements (FY 2020-2025),Various,"Replace, renovate, repair or provide various building systems such as boilers, chillers, air conditioning, elevators, fire safety, roofs, windows and doors.",Total,0,83950000,12400000,12400000,12400000,12400000,417,City School System - Systemics,NA
2019,417-003,417-003_2019,FY19 Capital Budget Report.xls,QZAB Projects,Various,The Qualified Zone Academy Bond (QZAB) Program is authorized by the federal government and allows the State of Maryland to sell bonds and allocate the proceeds to public school systems for capital improvements at eligible public school facilities.,Total,0,600000,600000,600000,600000,600000,417,City School System - Systemics,NA
2019,417-005,417-005_2019,FY19 Capital Budget Report.xls,Programmatic Space Upgrades,Various,The funds allocated for programmatic space upgrades will provide local funding to support academic initiatives that impact facilities.,Total,0,500000,500000,500000,500000,500000,417,City School System - Systemics,NA
2019,417-212,417-212_2019,FY19 Capital Budget Report.xls,Systemic Improvements (FY 2019-2024),Various,"Replace, renovate, repair or provide various building systems such as boilers, chillers, air conditioning, elevators, fire safety, roofs, windows and doors.",Total,0,73050000,10900000,12900000,12900000,12900000,417,City School System - Systemics,NA
2018,417-003,417-003_2018,FY18 Capital Budget.xls,QZAB Projects,Various,The Qualified Zone Academy Bond (QZAB) Program is authorized by the federal government and allows the State of Maryland to sell bonds and allocate the proceeds to public school systems for capital improvements at eligible public school facilities.,Total,0,0,600000,600000,600000,600000,417,City School System - Systemics,NA
2018,417-005,417-005_2018,FY18 Capital Budget.xls,Programmatic Space Upgrades,Various,The funds allocated for programmatic space upgrades will provide local funding to support academic initiatives that impact facilities.,Total,0,0,500000,500000,500000,500000,417,City School System - Systemics,NA
2018,417-212,417-212_2018,FY18 Capital Budget.xls,Systemic Improvements (FY 2018-2023),Various,"Replace, renovate, repair or provide various building systems such as boilers, chillers, air conditioning, elevators, fire safety, roofs, windows and doors.",Total,0,61150000,11900000,11900000,11900000,11900000,417,City School System - Systemics,NA
2017,417-212,417-212_2017,FY17 Capital Budget.xls,Systemic Improvements (FY 2017-2022),Various,"Replace, renovate, repair or provide various building systems such as boilers, chillers, air conditioning, elevators, fire safety, roofs, windows and doors.",Total,0,46150000,15000000,15000000,15000000,15000000,417,City School System - Systemics,NA
2016,417-212,417-212_2016,FY16 Capital Budget.xls,Systemic Improvements (FY 2016-2021),Various,"Replace, renovate, repair or provide various building systems such as boilers, chillers, air conditioning, elevators, fire safety, roofs, windows and doors.",Total,0,36150000,10000000,10000000,10000000,10000000,417,City School System - Systemics,NA
2015,417-212,417-212_2015,FY15 Capital Budget.xls,Systemic Improvements,Various,"Replace, renovate, repair or provide various building systems such as boilers, chillers, air conditioning, elevators, fire safety, roofs, windows and doors.",Total,0,23150000,13000000,13000000,13000000,13000000,417,City School System - Systemics,NA
2014,417-212,417-212_2014,FY14 Capital Budget_0.xls,Systemic Improvements,Various,"Replace, renovate, repair or provide various building systems such as boilers, chillers, air conditioning, elevators, fire safety, roofs, windows and doors.",Total,0,20330000,2820000,2820000,2820000,2820000,417,City School System - Systemics,NA
2024,418-010,418-010_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Maree G. Farring EM #203,300 Pontiac Avenue,"Renovate and construct an addition to the existing Maree G. Farring facility that is outdated and overcrowded.  The building renovation/addition will provide a modern, state of the art, 21st century educational environment for the students who attend.",Total,0,4143000,1000000,1000000,1000000,1000000,418,City School System - Construct,NA
2024,418-011,418-011_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Furley Elementary School Replacement,5001 Sinclair Lane,"Replace the existing Furley facility that is outdated and at the end of its useful life. The building replacement will provide a modern, state of the art 21st century educational environment for PK-5th grade students who attend the school.",Total,0,2250000,2500000,2500000,2500000,2500000,418,City School System - Construct,NA
2024,418-015,418-015_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Benjamin Franklin High School Renovation,1201 Cambria St.,"Renovate the existing Benjamin Franklin facility that is outdated and add an addition to address the overcrowding.  The building renovation will provide a modern, state of the art 21st century educational environment for students who attend the school.",Total,0,0,1500000,1500000,1500000,1500000,418,City School System - Construct,NA
2024,418-017,418-017_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Edmondson High School Renovation,501 N. Athol Ave,Renovate the existing Edmondson High School facility to provide a modern environment. Consolidate program into single building and surplus Westside Skills Center facility.,Total,0,0,1500000,1500000,1500000,1500000,418,City School System - Construct,NA
2024,418-177,418-177_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Armistead Gardens ES # 243,5001 East Eager St,"Renovate and add an addition to the existing Armistead Gardens PK-8 facility that is outdated and overcrowded. The building renovation/addition will provide a modern, state of the art 21st century educational environment for the students who attend.",Total,0,5850000,1250000,1250000,1250000,1250000,418,City School System - Construct,NA
2023,418-010,418-010_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Maree G. Farring EM #203,300 Pontiac Avenue,"Renovate and construct an addition to the existing Maree G. Farring facility that is outdated and overcrowded.  The building renovation/addition will provide a modern, state of the art, 21st century educational environment for the students who attend.",Total,0,3143000,1000000,1000000,1000000,1000000,418,City School System - Construct,NA
2023,418-011,418-011_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Furley Elementary School Replacement,5001 Sinclair Lane,"Replace the existing Furley facility that is outdated and at the end of its useful life. The building replacement will provide a modern, state of the art 21st century educational environment for PK-5th grade students who attend the school.",Total,0,0,2250000,2250000,2250000,2250000,418,City School System - Construct,NA
2023,418-177,418-177_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Armistead Gardens ES # 243,5001 East Eager St,"Renovate and add an addition to the existing Armistead Gardens PK-8 facility that is outdated and overcrowded. The building renovation/addition will provide a modern, state of the art 21st century educational environment for the students who attend.",Total,0,4600000,1250000,1250000,1250000,1250000,418,City School System - Construct,NA
2022,418-010,418-010_2022,FY22 Capital Budget.xls,Maree G. Farring EM #203,300 Pontiac Avenue,"Renovate and construct an addition to the existing Maree G. Farring facility that is outdated and overcrowded.  The building renovation/addition will provide a modern, state of the art, 21st century educational environment for the students who attend.",Total,0,2000000,1143000,1143000,1143000,1143000,418,City School System - Construct,NA
2022,418-177,418-177_2022,FY22 Capital Budget.xls,Armistead Gardens ES # 243,5001 East Eager St,"Renovate and add an addition to the existing Armistead Gardens PK-8 facility that is outdated and overcrowded. The building renovation/addition will provide a modern, state of the art 21st century educational environment for the students who attend.",Total,0,3350000,1250000,1250000,1250000,1250000,418,City School System - Construct,NA
2021,418-010,418-010_2021,FY21 Capital Budget.xls,Maree G. Farring EM #203,300 Pontiac Avenue,"Renovate and construct an addition to the existing Maree G. Farring facility that is outdated and overcrowded.  The building renovation/addition will provide a modern, state of the art, 21st century educational environment for the students who attend.",Total,0,1000000,1000000,1000000,1000000,1000000,418,City School System - Construct,NA
2021,418-177,418-177_2021,FY21 Capital Budget.xls,Armistead Gardens ES # 243,5001 East Eager St,"Renovate and add an addition to the existing Armistead Gardens PK-8 facility that is outdated and overcrowded.  The building renovation/addition will provide a modern, state of the art 21st century educational environment for the students who attend.",Total,0,2100000,1250000,1250000,1250000,1250000,418,City School System - Construct,NA
2020,418-001,418-001_2020,FY20 Capital Budget Report.xls,Graceland Park-O'Donnell Heights PK-8 #240,6300 O'Donnell Street,"Replace the existing school building (75,613 sq. ft.), which is in poor condition and over-utilized with a newly constructed modern sustainable school facility.",Total,0,15090000,2000000,2000000,2000000,2000000,418,City School System - Construct,NA
2020,418-003,418-003_2020,FY20 Capital Budget Report.xls,Holabird ES/MS #229,1500 Imla Street,"Replace the existing school building that is in poor condition and over-utilized with a new 21st Century, state of the art facility.",Total,0,15090000,1000000,1000000,1000000,1000000,418,City School System - Construct,NA
2020,418-010,418-010_2020,FY20 Capital Budget Report.xls,Maree G. Farring EM #203,300 Pontiac Avenue,"Renovate and construct an addition to the existing Maree G. Farring facility that is outdated and overcrowded.  The building renovation/addition will provide a modern, state of the art, 21st century educational environment for the students who attend.",Total,0,0,1000000,1000000,1000000,1000000,418,City School System - Construct,NA
2020,418-177,418-177_2020,FY20 Capital Budget Report.xls,Armistead Gardens ES # 243,5001 East Eager St,"Renovate and add an addition to the existing Armistead Gardens PK-8 facility that is outdated and overcrowded.  The building renovation/addition will provide a modern, state of the art 21st century educational environment for the students who attend.",Total,0,1000000,1100000,1100000,1100000,1100000,418,City School System - Construct,NA
2019,418-001,418-001_2019,FY19 Capital Budget Report.xls,Graceland Park-O'Donnell Heights PK-8 #240,6300 O'Donnell Street,"Replace the existing school building (75,613 sq. ft.), which is in poor condition and over-utilized with a newly constructed modern sustainable school facility.",Total,0,13090000,2000000,2000000,2000000,2000000,418,City School System - Construct,NA
2019,418-003,418-003_2019,FY19 Capital Budget Report.xls,Holabird ES/MS #229,1500 Imla Street,"Replace the existing school building that is in poor condition and over-utilized with a new 21st Century, state of the art facility.",Total,0,13090000,2000000,2000000,2000000,2000000,418,City School System - Construct,NA
2019,418-177,418-177_2019,FY19 Capital Budget Report.xls,Armistead Gardens ES # 243,5001 East Eager St,"Renovate and add an addition to the existing Armistead Gardens PK-8 facility that is outdated and overcrowded.  The building renovation/addition will provide a modern, state of the art 21st century educational environment the students who attend.",Total,0,0,1000000,1000000,1000000,1000000,418,City School System - Construct,NA
2018,418-001,418-001_2018,FY18 Capital Budget.xls,Graceland Park-O'Donnell Heights PK-8 #240,6300 O'Donnell Street,"Replace the existing school building (75,613 sq. ft.), which is in poor condition and over-utilized with a newly constructed modern sustainable school facility.",Total,0,11090000,2000000,2000000,2000000,2000000,418,City School System - Construct,NA
2018,418-003,418-003_2018,FY18 Capital Budget.xls,Holabird ES/MS #229,1500 Imla Street,"Replace the existing school building that is in poor condition and over-utilized with a new 21st Century, state of the art facility.",Total,0,11090000,2000000,2000000,2000000,2000000,418,City School System - Construct,NA
2017,418-001,418-001_2017,FY17 Capital Budget.xls,Graceland Park-O'Donnell Heights PK-8 #240,6300 O'Donnell Street,"Replace the existing school building (75,613 sq. ft.), which is in poor condition and over-utilized with a newly constructed modern sustainable school facility.",Total,0,10090000,1000000,1000000,1000000,1000000,418,City School System - Construct,NA
2017,418-003,418-003_2017,FY17 Capital Budget.xls,Holabird ES/MS #229,1500 Imla Street,"Replace the existing school building that is in poor condition and over-utilized with a new 21st Century, state of the art facility.",Total,0,10090000,1000000,1000000,1000000,1000000,418,City School System - Construct,NA
2016,418-001,418-001_2016,FY16 Capital Budget.xls,Graceland Park-O'Donnell Heights PK-8 #240,6300 O'Donnell Street,"Replace the existing school building (75,613 sq. ft.), which is in poor condition and over-utilized with a newly constructed modern sustainable school facility.",Total,0,6590000,3500000,3500000,3500000,3500000,418,City School System - Construct,NA
2016,418-003,418-003_2016,FY16 Capital Budget.xls,Holabird ES/MS #229,1500 Imla Street,"Replace the existing school building that is in poor condition and over-utilized with a new 21st Century, state of the art facility.",Total,0,6590000,3500000,3500000,3500000,3500000,418,City School System - Construct,NA
